,round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation,batch_size,dropout,epochs,first_neuron,kernel_initializer,last_activation,losses,optimizer
51,50,0.00968104799142864,0.9969820380210876,0.9970294833183289,0.015210953725124468,0.9949657320976257,0.9950124025344849,relu,128,0.1,50,16,uniform,softmax,categorical_crossentropy,adadelta
52,20,0.019009626656476344,0.9932300448417664,0.9932342171669006,0.01909529759903117,0.9945811629295349,0.9945830702781677,elu,30,0.0,20,10,normal,softmax,categorical_crossentropy,adadelta
53,50,0.005354885527253345,0.9983686804771423,0.6969308257102966,0.009719097098928722,0.996504008769989,0.7319474220275879,relu,128,0.2,50,34,normal,sigmoid,categorical_crossentropy,Adam
54,50,0.00023233151541235183,0.9995921850204468,0.9995925426483154,0.00032878491880121733,0.9994056820869446,0.9993883967399597,elu,30,0.0,50,22,uniform,softmax,mean_squared_error,Nadam
55,10,0.00456738929718747,0.9912724494934082,0.9912381768226624,0.00474381474236681,0.9919941425323486,0.9919977188110352,relu,30,0.0,10,10,normal,softmax,mean_squared_error,adadelta
56,50,0.005410798050943294,0.9981240034103394,0.7408158183097839,0.005851519133957107,0.9982869625091553,0.7395265698432922,elu,128,0.0,50,34,normal,sigmoid,categorical_crossentropy,adadelta
57,30,0.0011838918240443133,0.9982055425643921,0.9982114434242249,0.0019509163305017514,0.9966088533401489,0.9965745210647583,relu,60,0.2,30,28,uniform,softmax,mean_squared_error,Adam
58,40,0.001084352963941494,0.9983686804771423,0.9983741044998169,0.0016802293107899958,0.9969934225082397,0.9969946146011353,elu,60,0.1,40,22,uniform,softmax,mean_squared_error,Nadam
59,60,0.0012946794590855833,0.9982055425643921,0.9980487823486328,0.0014419709666848868,0.9977974891662598,0.9977447986602783,relu,60,0.0,60,10,uniform,sigmoid,mean_squared_error,Adam
60,10,0.004078592278782172,0.9918434023857117,0.9918461441993713,0.004408185915722253,0.9915396571159363,0.9915620684623718,elu,30,0.1,10,22,uniform,softmax,mean_squared_error,Adam
61,10,0.017247252781249865,0.9938825368881226,0.9938614964485168,0.019037527693652394,0.9936372637748718,0.9936230182647705,relu,60,0.0,10,16,uniform,softmax,categorical_crossentropy,Nadam
62,60,0.0001706797472057742,0.9998368620872498,0.999839723110199,0.00021214643603723792,0.9998251795768738,0.9997203946113586,relu,30,0.0,60,40,uniform,sigmoid,mean_squared_error,Adam
63,20,0.0014377933729635736,0.9982055425643921,0.9979640245437622,0.0018167523060490108,0.9974479079246521,0.9972459673881531,elu,60,0.0,20,22,normal,sigmoid,mean_squared_error,Nadam
64,30,0.011602592774692293,0.9965742230415344,0.9965854287147522,0.013236039193414201,0.9958047866821289,0.9957897663116455,elu,60,0.0,30,10,normal,softmax,categorical_crossentropy,Adam
65,10,0.0062302160303170685,0.98931485414505,0.9892070889472961,0.0074624334447140036,0.9877989292144775,0.987815260887146,relu,128,0.1,10,22,uniform,softmax,mean_squared_error,Adam
66,50,0.0002400011297012514,0.9998368620872498,0.9997158050537109,0.00036582844690009745,0.9995455145835876,0.999424159526825,relu,60,0.0,50,34,uniform,sigmoid,mean_squared_error,Nadam
67,30,0.0034573297279749666,0.9929037690162659,0.9928832054138184,0.004554515659019801,0.9913998246192932,0.9916775226593018,relu,60,0.1,30,10,uniform,softmax,mean_squared_error,adadelta
68,50,0.0015691007895538862,0.9970636367797852,0.9970245957374573,0.0027882773426547453,0.9948258996009827,0.9948460459709167,elu,30,0.2,50,10,uniform,softmax,mean_squared_error,Adam
69,20,0.0017258349289565285,0.9973899126052856,0.9973921775817871,0.0022136536188278604,0.9962942004203796,0.9962949752807617,elu,30,0.1,20,28,uniform,softmax,mean_squared_error,Adam
70,60,0.0011357422112801034,0.9981240034103394,0.9980080127716064,0.0018369346575565903,0.996748685836792,0.9968552589416504,relu,30,0.2,60,34,normal,sigmoid,mean_squared_error,adadelta
71,30,0.0030241426519590593,0.9947797656059265,0.9938763976097107,0.0036913292285045275,0.9937421083450317,0.9936120510101318,elu,30,0.2,30,22,normal,sigmoid,mean_squared_error,Adam
72,10,0.012350796600765988,0.9951875805854797,0.9951086640357971,0.015264409510340448,0.9950356483459473,0.9949790239334106,relu,30,0.2,10,40,uniform,softmax,categorical_crossentropy,Adam
73,50,0.0035361722022829644,0.9991843104362488,0.9991869926452637,0.006359974760344747,0.997972309589386,0.9979732632637024,relu,60,0.1,50,28,normal,softmax,categorical_crossentropy,adadelta
74,20,0.008959390285696098,0.9969004988670349,0.9969031810760498,0.012017888791355987,0.9958397150039673,0.9957893490791321,elu,30,0.1,20,22,uniform,softmax,categorical_crossentropy,Adam
75,20,0.008514076839200796,0.9967373609542847,0.9967387318611145,0.011791944337078036,0.9959096908569336,0.9959610104560852,relu,30,0.2,20,34,normal,softmax,categorical_crossentropy,adadelta
76,30,0.003968454139279794,0.9989396333694458,0.6835798621177673,0.007218768665282604,0.9973779916763306,0.6802096962928772,relu,128,0.2,30,40,normal,sigmoid,categorical_crossentropy,Nadam
77,50,0.0032088020625457925,0.9937193989753723,0.9936831593513489,0.0033250234659387037,0.9941266775131226,0.9941651225090027,elu,30,0.2,50,10,normal,softmax,mean_squared_error,adadelta
78,20,0.01460338230890512,0.9955138564109802,0.9954594969749451,0.022119567077567844,0.992693305015564,0.9927617907524109,relu,128,0.2,20,34,normal,softmax,categorical_crossentropy,Adam
79,40,0.002325148759259077,0.9955954551696777,0.9955689311027527,0.00278788027967339,0.9954202175140381,0.9954057931900024,elu,60,0.1,40,10,normal,softmax,mean_squared_error,Adam
80,50,0.0002328904276555996,0.9995921850204468,0.9995522499084473,0.0005925763290088593,0.9991260170936584,0.9991280436515808,relu,128,0.2,50,34,normal,softmax,mean_squared_error,Nadam
81,20,0.027119542316793425,0.9897226691246033,0.8155702948570251,0.03358369232454276,0.9892323017120361,0.8325973749160767,elu,128,0.2,20,22,uniform,sigmoid,categorical_crossentropy,Adam
82,30,0.001406756061830862,0.9978792667388916,0.9977254271507263,0.00173591691608755,0.9974479079246521,0.9973766803741455,elu,60,0.0,30,10,normal,sigmoid,mean_squared_error,Nadam
83,50,0.00011754396378796175,0.999755322933197,0.9997555613517761,0.00016875593555624183,0.9996504187583923,0.9996506571769714,relu,30,0.0,50,28,normal,softmax,mean_squared_error,Nadam
84,10,0.00476881165707162,0.9898858070373535,0.9901424646377563,0.00533768473375595,0.990001380443573,0.9899320006370544,relu,30,0.1,10,22,uniform,sigmoid,mean_squared_error,Adam
85,50,0.01606482275158507,0.9924143552780151,0.9093337059020996,0.023352697975605356,0.9880086779594421,0.882610023021698,elu,128,0.1,50,10,normal,sigmoid,categorical_crossentropy,adadelta
86,10,0.01820893541254657,0.9938825368881226,0.9938862323760986,0.020735059928457988,0.9929730296134949,0.9929937720298767,relu,30,0.0,10,16,normal,softmax,categorical_crossentropy,Adam
87,20,0.0022251368046134713,0.9969004988670349,0.9966611862182617,0.002328880018995926,0.9964340925216675,0.9964674115180969,relu,30,0.0,20,40,uniform,sigmoid,mean_squared_error,adadelta
88,10,0.018764179667206567,0.9938825368881226,0.8513707518577576,0.02288817050658343,0.9920989871025085,0.8557462096214294,elu,30,0.1,10,40,uniform,sigmoid,categorical_crossentropy,adadelta
89,40,0.01672329849595444,0.9938825368881226,0.6363632678985596,0.016799042132384725,0.9943714141845703,0.6688364148139954,elu,128,0.0,40,10,uniform,sigmoid,categorical_crossentropy,adadelta
90,40,0.013160515364508645,0.995106041431427,0.9950120449066162,0.022847431087628094,0.9920640587806702,0.9920188188552856,relu,128,0.1,40,10,normal,softmax,categorical_crossentropy,adadelta
91,10,0.006025026116237104,0.9889885783195496,0.9891422986984253,0.006931985541306789,0.9889525771141052,0.9883704781532288,elu,60,0.1,10,16,uniform,sigmoid,mean_squared_error,Adam
92,30,0.006911085872037235,0.9975529909133911,0.78011155128479,0.013776084880355715,0.9946161508560181,0.8159373998641968,relu,30,0.2,30,22,uniform,sigmoid,categorical_crossentropy,Adam
93,30,0.002658706828605931,0.9954323172569275,0.9953652620315552,0.0028446274082284412,0.9954901337623596,0.9954979419708252,relu,60,0.0,30,10,normal,softmax,mean_squared_error,adadelta
94,10,0.02436794333365407,0.9900489449501038,0.9900805950164795,0.03286626496597556,0.9890924096107483,0.989063024520874,relu,60,0.1,10,10,uniform,softmax,categorical_crossentropy,Nadam
95,60,0.002527911369725003,0.9991843104362488,0.9991870522499084,0.004486339052791131,0.9986715316772461,0.9986897706985474,relu,60,0.1,60,16,normal,softmax,categorical_crossentropy,Nadam
